No.,DATE,Airline code,Flight Designator,SOBT,Hour,Routing,Traffic Type,Public Terminal,GHA,Seats,Pax,D-4 Pax,D-3 Pax,D-2 Pax,D-4,D-3,D-2,Confidence
121,21-06-2026,AI,AI 2255,17:25,17,DEL-JED,INTERNATIONAL,Terminal 3,AISATS,362,290,87,116,87,13:25,14:25,15:25,high
122,21-06-2026,6E,6E 1161,17:50,17,DEL-KTM,INTERNATIONAL,Terminal 3,IndiGo,164,131,39,52,39,13:50,14:50,15:50,high
123,21-06-2026,B4,B4 443,17:55,17,DEL-MLE,INTERNATIONAL,Terminal 3,IndiGo,186,149,45,60,45,13:55,14:55,15:55,high
124,21-06-2026,NH,NH 838,18:00,18,DEL-HND,INTERNATIONAL,Terminal 3,AISATS,246,197,59,79,59,14:00,15:00,16:00,high
125,21-06-2026,AI,AI 358,18:10,18,DEL-HND,INTERNATIONAL,Terminal 3,AISATS,246,197,59,79,59,14:10,15:10,16:10,high
126,21-06-2026,IX,IX 163,18:25,18,DEL-MCT,INTERNATIONAL,Terminal 3,AISATS,180,144,43,58,43,14:25,15:25,16:25,high
127,21-06-2026,6E,6E 1169,18:25,18,DEL-CMB,INTERNATIONAL,Terminal 3,IndiGo,186,149,45,60,45,14:25,15:25,16:25,high
128,21-06-2026,G9,G9 466,18:35,18,DEL-SHJ,INTERNATIONAL,Terminal 3,BFS,168,134,40,54,40,14:35,15:35,16:35,high
129,21-06-2026,AI,AI 2283,18:40,18,DEL-DOH,INTERNATIONAL,Terminal 3,AISATS,164,131,39,52,39,14:40,15:40,16:40,high
130,21-06-2026,UL,UL 196,18:45,18,DEL-CMB,INTERNATIONAL,Terminal 3,BFS,188,150,45,60,45,14:45,15:45,16:45,high
131,21-06-2026,SG,SG 5105,18:45,18,DEL-DXB,INTERNATIONAL,Terminal 3,BFS,189,151,45,60,45,14:45,15:45,16:45,high
132,21-06-2026,KE,KE 498,18:50,18,DEL-ICN,INTERNATIONAL,Terminal 3,BFS,278,222,67,89,67,14:50,15:50,16:50,high
133,21-06-2026,JL,JL 030,19:05,19,DEL-HND,INTERNATIONAL,Terminal 3,BFS,239,191,57,76,57,15:05,16:05,17:05,high
134,21-06-2026,6E,6E 1463,19:10,19,DEL-DXB,INTERNATIONAL,Terminal 3,IndiGo,220,176,53,70,53,15:10,16:10,17:10,high
135,21-06-2026,SV,SV 9651,19:50,19,DEL-MED,INTERNATIONAL,Terminal 3,AISATS,326,261,78,104,78,15:50,16:50,17:50,high
136,21-06-2026,MU,MU 564,19:55,19,DEL-PVG,INTERNATIONAL,Terminal 3,BFS,262,210,63,84,63,15:55,16:55,17:55,high
137,21-06-2026,6E,6E 1231,20:15,20,DEL-KWI,INTERNATIONAL,Terminal 3,IndiGo,186,149,45,60,45,16:15,17:15,18:15,high
138,21-06-2026,6E,6E 1701,20:20,20,DEL-CAN,INTERNATIONAL,Terminal 3,IndiGo,186,149,45,60,45,16:20,17:20,18:20,high
139,21-06-2026,AI,AI 2145,20:50,20,DEL-DPS,INTERNATIONAL,Terminal 3,AISATS,188,150,45,60,45,16:50,17:50,18:50,high
140,21-06-2026,6E,6E 1083,20:55,20,DEL-DMM,INTERNATIONAL,Terminal 3,IndiGo,232,186,56,74,56,16:55,17:55,18:55,high
141,21-06-2026,XJ,XJ 231,20:55,20,DEL-DMK,INTERNATIONAL,Terminal 3,BFS,377,302,91,121,91,16:55,17:55,18:55,high
142,21-06-2026,6E,6E 1405,21:00,21,DEL-AUH,INTERNATIONAL,Terminal 3,IndiGo,232,186,56,74,56,17:00,18:00,19:00,high
143,21-06-2026,AI,AI 223,21:15,21,DEL-KTM,INTERNATIONAL,Terminal 3,AISATS,150,120,36,48,36,17:15,18:15,19:15,high
144,21-06-2026,EY,EY 217,21:15,21,DEL-AUH,INTERNATIONAL,Terminal 3,AISATS,327,262,79,105,79,17:15,18:15,19:15,recovered
145,21-06-2026,IX,IX 173,21:20,21,DEL-DMM,INTERNATIONAL,Terminal 3,AISATS,327,262,79,105,79,17:20,18:20,19:20,high
146,21-06-2026,6E,6E 1307,21:30,21,DEL-DOH,INTERNATIONAL,Terminal 3,IndiGo,180,144,43,58,43,17:30,18:30,19:30,high
147,21-06-2026,AI,AI 2386,21:40,21,DEL-KUL,INTERNATIONAL,Terminal 3,AISATS,186,149,45,60,45,17:40,18:40,19:40,high
148,21-06-2026,AI,AI 101,21:45,21,DEL-FCO-JFK,INTERNATIONAL,Terminal 3,AISATS,164,131,39,52,39,17:45,18:45,19:45,high
149,21-06-2026,GF,GF 135,21:50,21,DEL-BAH,INTERNATIONAL,Terminal 3,AISATS,316,253,76,101,76,17:50,18:50,19:50,high
150,21-06-2026,SQ,SQ 403,21:55,21,DEL-SIN,INTERNATIONAL,Terminal 3,BFS,150,120,36,48,36,17:55,18:55,19:55,high
151,21-06-2026,6E,6E 063,22:00,22,DEL-JED,INTERNATIONAL,Terminal 3,AISATS,471,377,113,151,113,18:00,19:00,20:00,high
152,21-06-2026,6E,6E 071,22:00,22,DEL-RUH,INTERNATIONAL,Terminal 3,IndiGo,186,149,45,60,45,18:00,19:00,20:00,high
153,21-06-2026,OD,OD 206,22:05,22,DEL-KUL,INTERNATIONAL,Terminal 3,IndiGo,186,149,45,60,45,18:05,19:05,20:05,high
154,21-06-2026,EK,EK 515,22:05,22,DEL-DXB,INTERNATIONAL,Terminal 3,AISATS,189,151,45,60,45,18:05,19:05,20:05,high
155,21-06-2026,AI,AI 314,22:10,22,DEL-HKG,INTERNATIONAL,Terminal 3,AISATS,360,288,86,115,86,18:10,19:10,20:10,high
156,21-06-2026,CX,CX 698,22:45,22,DEL-HKG,INTERNATIONAL,Terminal 3,AISATS,188,150,45,60,45,18:45,19:45,20:45,high
157,21-06-2026,AC,AC 043,22:50,22,DEL-YYZ,INTERNATIONAL,Terminal 3,AISATS,368,294,88,118,88,18:50,19:50,20:50,high
158,21-06-2026,CA,CA 948,22:50,22,DEL-PEK,INTERNATIONAL,Terminal 3,BFS,300,240,72,96,72,18:50,19:50,20:50,high
159,21-06-2026,AI,AI 2380,23:00,23,DEL-SIN,INTERNATIONAL,Terminal 3,AISATS,301,241,72,96,72,19:00,20:00,21:00,high
160,21-06-2026,MH,MH 191,23:00,23,DEL-KUL,INTERNATIONAL,Terminal 3,AISATS,188,150,45,60,45,19:00,20:00,21:00,high
161,21-06-2026,D7,D7 183,23:20,23,DEL-KUL,INTERNATIONAL,Terminal 3,AISATS,290,232,70,93,70,19:20,20:20,21:20,high
162,21-06-2026,AA,AA 293,23:30,23,DEL-JFK,INTERNATIONAL,Terminal 3,BFS,377,302,91,121,91,19:30,20:30,21:30,high
163,21-06-2026,TG,TG 316,23:30,23,DEL-BKK,INTERNATIONAL,Terminal 3,AISATS,285,228,68,91,68,19:30,20:30,21:30,high
164,21-06-2026,VN,VN 980,23:35,23,DEL-HAN,INTERNATIONAL,Terminal 3,BFS,298,238,71,95,71,19:35,20:35,21:35,high
165,21-06-2026,UA,UA 083,23:35,23,DEL-EWR,INTERNATIONAL,Terminal 3,AISATS,305,244,73,98,73,19:35,20:35,21:35,high
